RANDOM FOREST,,,,
customer segment,precision,recall,f1-score,support
0,0.97,0.98,0.98,442
1,0.97,0.96,0.96,236
2,0.98,0.97,0.98,187
3,0.97,0.96,0.96,311
,,,,
accuracy,,,0.97,1176
macro avg,0.97,0.97,0.97,1176
weighted avg,0.97,0.97,0.97,1176
,,,,
,,,,
RANDOM FOREST w/ GridSearchCV,,,,
customer segment,precision,recall,f1-score,support
0,0.97,0.98,0.98,442
1,0.97,0.96,0.96,236
2,0.98,0.97,0.98,187
3,0.97,0.96,0.96,311
,,,,
accuracy,,,0.97,1176
macro avg,0.97,0.97,0.97,1176
weighted avg,0.97,0.97,0.97,1176
,,,,
,,,,
RANDOM FOREST w/ Bayesian Optimization,,,,
customer segment,precision,recall,f1-score,support
0,0.98,0.98,0.98,442
1,0.95,0.97,0.96,236
2,0.98,0.97,0.97,187
3,0.97,0.95,0.96,311
,,,,
accuracy,,,0.97,1176
macro avg,0.97,0.97,0.97,1176
weighted avg,0.97,0.97,0.97,1176
,,,,
,,,,
RANDOM FOREST w/ XGBoost,,,,
customer segment,precision,recall,f1-score,support
0,0.97,0.98,0.98,442
1,0.97,0.96,0.97,236
2,0.98,0.99,0.99,187
3,0.97,0.96,0.96,311
,,,,
accuracy,,,0.97,1176
macro avg,0.97,0.97,0.97,1176
weighted avg,0.97,0.97,0.97,1176
,,,,
,,,,
RANDOM FOREST w/Ensemble Model,,,,
customer segment,precision,recall,f1-score,support
0,0.98,0.99,0.98,442
1,0.97,0.96,0.96,236
2,0.98,0.99,0.98,187
3,0.97,0.96,0.97,311
,,,,
accuracy,,,0.98,1176
macro avg,0.97,0.97,0.97,1176
weighted avg,0.98,0.98,0.98,1176